id,solution_label,file_name,folder_name,date,Ag 328.068,Ag 338.289,Al 308.215,Al 396.152,As 188.980,As 234.984,B 249.678,B 249.772,Ba 455.403,Ba 493.408,Bi 223.061,Bi 306.771,Ca 317.933,Ca 396.847,Ca 422.673,Cd 214.439,Cd 226.502,Ce 418.659,Ce 446.021,Co 228.615,Co 230.786,Co 231.160,Cr 267.716,Cr 283.563,Cu 324.754,Cu 327.395,Fe 238.204,Fe 259.940,Ga 287.423,Ga 417.204,In 410.176,In 451.131,K 766.491,K 769.897,La 333.749,La 408.671,Li 610.365,Li 670.783,Mg 279.553,Mg 280.270,Mg 285.213,Mn 257.610,Mn 259.372,Mo 281.615,Mo 284.824,Na 568.821,Na 588.995,Na 589.592,Ni 230.299,Ni 231.604,P 213.618,P 214.914,Pb 220.353,Pb 405.781,S 180.669,S 181.972,Sb 206.834,Sb 217.582,Sc 357.253,Sc 361.383,Sn 189.925,Sn 283.998,Sr 407.771,Sr 421.552,Th 283.730,Th 335.123,Th 401.913,Ti 334.941,Ti 337.280,Tl 276.789,Tl 351.923,U 385.957,U 409.013,V 309.310,V 311.837,Y 360.074,Y 371.029,Y 377.433,Yb 328.937,Yb 369.419,Zn 202.548,Zn 213.857,Au 242.794_2,Au 242.794_1,Si 250.690,Si 251.432,Si 251.611,Si 288.158,Cu 213.598,Cu 224.700,Nb 309.417,Nb 313.078,Ta 263.558,Ta 268.517,W 207.912,W 209.475,Mo 202.032,Mo 204.598,Se 203.985,Se 196.026,Au 267.594_2,Pd 340.458,Pt 214.424,Au 267.594_1,Pd 360.955,Pt 306.471,Pt 299.796,Si 288.158_2,Si 288.158_1,Ni 221.648,Zn 213.857_1,Zn 334.502_1,Cr 357.868,Zn 213.857_2,Co 238.892,Cd 228.802,Al 394.401,Sb 231.146,Tl 190.794,Zn 334.502_2,Fe 239.563,Mg 279.800,P 178.222,Pb 280.199,Ga 294.363,In 230.606,V 292.401,Sn 242.950,Sr 216.596,Mn 294.921,Ti 336.122,Li 460.289,Bi 222.821,Zn 334.502
579,tiz merk blank 1190,1404-02-28 oes  1113(361-480)   1202  .csv,oes 4ac,1404/02/28,3.89719,5.30123,-185.44,20.3194,16.5198,29.3582,-1.65474,-4.16087,-7.52585,2.78748,13.2388,11.9717,-106.557,-59.4651,-36.69,-8.25028,-11.4848,12.2624,-5.146,0.0313177,1.223,0.426309,-7.7142,6.67308,-3.73275,-24.8084,-49.9816,63.2381,8.29089,21.8876,5.2908,-45.5355,-40.6942,-106.912,9.14009,-2.33141,42.2894,1.91681,-3023.15,-0.578715,-26.2457,-7.14272,-6.27025,16.6855,25.0119,943.79,-860.659,-953.986,-23.5499,-0.0149431,4.77007,28.8258,-12.7409,64.0326,104.306,14.6585,-11.4969,9.25715,1.609,0.196583,244.817,256.755,-23.9873,-4.08803,71.6449,12.3279,-3.1743,-20.3099,6.72329,32.8611,-0.829095,,,-5.21329,2.51321,-0.264438,-0.618059,-0.536195,-0.690354,-0.584335,-6.77933,-26.6118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,blankzp v250 d25,1404-02-28 oes  1113(361-480)   1202  .csv,oes 4ac,1404/02/28,1190.87,1535.62,-23865.6,1367.46,1338.9,3121.45,2564.24,2342.59,-1063.98,225.789,-265.326,1056.81,-15014.0,-9571.33,-6442.5,-1039.05,-1405.43,1224.33,-246.088,-61.9572,-64.1694,51.633,-735.429,835.396,2081.22,-387.16,-6927.67,7116.93,250.709,2588.62,-698.77,484738.0,-4677.67,64709.5,1344.89,-294.3,5427.53,417.725,-377864.0,-14.0507,-3152.66,-903.85,-766.378,2036.27,3303.51,6676230.0,6630300.0,6612880.0,-3026.76,-168.885,25.3709,2517.4,-2103.43,5048.77,33357.9,27323.8,-781.36,1815.5,352.765,47.7225,3050.4,3790.08,-2979.47,-494.017,-422.239,2511.75,-2260.91,-2642.9,754.582,3173.01,1138.61,,,-649.916,287.404,-22.0876,-62.1607,-59.8262,-88.1532,-70.5063,-1067.85,-3591.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,Blank,1404-02-29 oes 1113 (481-660) .csv,oes 4ac,1404/02/29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,CRM BLANK  y,1404-02-29 oes 1113 (481-660) .csv,oes 4ac,1404/02/29,6.75261,-52.2614,-13.4751,58.0407,12.2609,-8.75422,59.2547,60.6041,-10.3086,-8.73093,149.359,187.535,389.347,459.396,480.147,-7.16853,-10.2372,18.0927,13.1107,-0.533823,-8.78278,0.848252,1.56971,-1.90904,-16.1903,-14.6767,-0.354924,141.139,1.51756,-23.1881,54.0644,-454.69,23.7906,-1240.88,10.3802,13.468,42.375,-7.24943,-3355.8,22.7849,26.0746,7.23627,6.61133,25.0348,30.7392,641.446,212.565,192.503,-13.041,-7.03964,34.7398,6.24525,-2.99621,4.40496,1736.51,1701.0,-8.87127,-12.3251,,6.47691,21.3454,26.341,-3.28511,-7.14539,,,,18.1817,17.258,15.3993,6.34125,,,0.582199,4.36279,1.44736,0.699637,0.601226,0.118595,0.580346,86.6845,81.1625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583,blnk 1115,1404-02-29 oes 1113 (481-660) .csv,oes 4ac,1404/02/29,5.81848,-51.4469,-81.46,-0.187675,22.8027,32.675,-7.85056,-7.06935,-11.9474,-10.3382,129.31,158.365,-37.047,-73.6067,12.2366,-7.24942,-10.7372,10.9233,8.25176,-2.3323,-8.31587,1.90594,-8.72144,-12.8754,-17.9769,-16.3428,23.4211,161.993,7.26938,-13.3251,45.6475,-521.224,-12.3095,-2044.21,5.72424,9.03496,41.0976,-7.52683,-3340.92,-20.2875,-14.7202,-6.83434,-7.46795,23.2576,28.7185,501.464,-321.872,-308.103,-19.3242,-10.5658,8.07717,-12.4846,-16.0454,57.8414,160.172,143.3,1.44255,6.24613,,3.2325,589.456,625.171,-6.92594,-10.2185,,,,10.8261,9.67528,-14.9138,-12.6967,,,-0.461366,3.73582,0.625635,0.25819,0.213937,-0.0641705,0.176577,-10.1593,-14.6234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584,1192 blnk zp v250d25,1404-02-29 oes 1113 (481-660) .csv,oes 4ac,1404/02/29,221.451,-6955.29,-4711.21,5055.79,1804.13,3212.98,1086330.0,1090220.0,-518.38,-323.204,16574.2,19380.2,-10616.5,-15340.4,-4507.7,-900.552,-1322.04,1351.47,694.086,-112.211,-1282.45,192.116,-1156.53,-1654.45,-2364.89,-2126.2,-17041.8,1617.63,-338.705,-1907.73,5439.88,-58716.8,36.4144,-171670.0,716.079,1156.37,5018.69,-672.958,-415638.0,-2592.41,-1871.95,-888.208,-973.06,2632.64,3600.74,16273000.0,14734800.0,14539600.0,-2559.28,-1466.64,-383.453,1804.14,-2615.48,3720.27,7816.64,3159.96,20.4783,-214.183,,347.924,2508.55,3464.79,-785.092,-1200.35,,,,586.374,399.782,260.788,2405.4,,,-48.9343,437.372,31.5902,33.5104,26.9498,-12.2272,36.7862,-1390.93,-1999.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,1185 blnk h2o,1404-02-29 oes 1113 (481-660) .csv,oes 4ac,1404/02/29,0.516425,-10.058,-10.804,4.21132,0.54768,3.52529,-2.00413,-1.83525,-1.85144,-1.5573,25.2245,30.9691,-4.05478,-11.8875,3.27658,-1.27875,-1.97302,1.86113,1.6873,-0.25638,-1.70434,0.519555,-1.55757,-2.31163,-1.63337,-1.555,15.7299,40.5451,0.834615,-4.64969,12.6747,-78.3763,-0.00242859,-249.06,1.17285,1.63742,7.66883,-1.20162,-613.758,0.910727,1.60149,-0.933629,-1.00843,3.89835,5.20142,132.889,-10.9301,-14.7171,-3.48791,-1.85418,59.2995,52.2276,-1.61528,-6.16462,27.0073,12.9136,-2.82056,0.801078,,0.550743,11.0289,2.84004,-1.28064,-1.89683,,,,4.65281,4.94328,9.15763,0.889573,,,-0.0509212,0.867541,0.0835884,0.0456174,0.0655857,-0.0150136,0.0383049,-1.64971,-2.82269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,Blank,1404-02-29 oes 1115 1192 1160.csv,oes 4ac,1404/02/29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,CRM BLANK  y,1404-02-29 oes 1115 1192 1160.csv,oes 4ac,1404/02/29,6.75261,-52.2614,-13.4751,58.0407,12.2609,-8.75422,59.2547,60.6041,-10.3086,-8.73093,149.359,187.535,389.347,459.396,480.147,-7.16853,-10.2372,18.0927,13.1107,-0.533823,-8.78278,0.848252,1.56971,-1.90904,-16.1903,-14.6767,-0.354924,141.139,1.51756,-23.1881,54.0644,-454.69,23.7906,-1240.88,10.3802,13.468,42.375,-7.24943,-3355.8,22.7849,26.0746,7.23627,6.61133,25.0348,30.7392,641.446,212.565,192.503,-13.041,-7.03964,34.7398,6.24525,-2.99621,4.40496,1736.51,1701.0,-8.87127,-12.3251,,6.47691,21.3454,26.341,-3.28511,-7.14539,,,,18.1817,17.258,15.3993,6.34125,,,0.582199,4.36279,1.44736,0.699637,0.601226,0.118595,0.580346,86.6845,81.1625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,blnk 1115,1404-02-29 oes 1115 1192 1160.csv,oes 4ac,1404/02/29,5.81848,-51.4469,-81.46,-0.187675,22.8027,32.675,-7.85056,-7.06935,-11.9474,-10.3382,129.31,158.365,-37.047,-73.6067,12.2366,-7.24942,-10.7372,10.9233,8.25176,-2.3323,-8.31587,1.90594,-8.72144,-12.8754,-17.9769,-16.3428,23.4211,161.993,7.26938,-13.3251,45.6475,-521.224,-12.3095,-2044.21,5.72424,9.03496,41.0976,-7.52683,-3340.92,-20.2875,-14.7202,-6.83434,-7.46795,23.2576,28.7185,501.464,-321.872,-308.103,-19.3242,-10.5658,8.07717,-12.4846,-16.0454,57.8414,160.172,143.3,1.44255,6.24613,,3.2325,589.456,625.171,-6.92594,-10.2185,,,,10.8261,9.67528,-14.9138,-12.6967,,,-0.461366,3.73582,0.625635,0.25819,0.213937,-0.0641705,0.176577,-10.1593,-14.6234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,1192 blnk zp v250d25,1404-02-29 oes 1115 1192 1160.csv,oes 4ac,1404/02/29,221.451,-6955.29,-4711.21,5055.79,1804.13,3212.98,1086330.0,1090220.0,-518.38,-323.204,16574.2,19380.2,-10616.5,-15340.4,-4507.7,-900.552,-1322.04,1351.47,694.086,-112.211,-1282.45,192.116,-1156.53,-1654.45,-2364.89,-2126.2,-17041.8,1617.63,-338.705,-1907.73,5439.88,-58716.8,36.4144,-171670.0,716.079,1156.37,5018.69,-672.958,-415638.0,-2592.41,-1871.95,-888.208,-973.06,2632.64,3600.74,16273000.0,14734800.0,14539600.0,-2559.28,-1466.64,-383.453,1804.14,-2615.48,3720.27,7816.64,3159.96,20.4783,-214.183,,347.924,2508.55,3464.79,-785.092,-1200.35,,,,586.374,399.782,260.788,2405.4,,,-48.9343,437.372,31.5902,33.5104,26.9498,-12.2272,36.7862,-1390.93,-1999.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,Blank,1404-02-29 oes 1143 EDIT .csv,oes 4ac,1404/02/29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,CRM BLANK  y,1404-02-29 oes 1143 EDIT .csv,oes 4ac,1404/02/29,-20.2612,-2.67021,-138.937,37.5204,20.4,38.9666,35.2498,35.0328,-6.30213,-6.31532,135.964,153.743,100.727,260.009,275.281,-0.17538,-1.50589,6.6943,14.2264,-3.74599,-2.5733,1.98725,11.691,5.60475,-3.98305,-9.46261,-116.221,175.723,-2.70677,9.96717,-5.26374,35.9639,52.9715,230.358,6.51689,8.44777,40.053,0.798197,-3265.2,14.7303,8.82091,11.1774,11.4236,18.9694,21.1683,1104.59,214.102,228.927,-8.89975,-3.46501,22.7733,90.009,-6.72802,38.7099,1596.07,1618.39,7.67247,19.4956,0.53926,1.13772,25.4032,24.6811,-4.38465,-7.61495,-1.26455,6.21803,2.05242,24.0492,14.3396,3.2372,-2.01214,-2.2492,-11.1462,3.50772,5.36526,0.563757,0.640799,0.245801,-0.27914,0.0821767,5.27732,-1.84691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,CRM BLANK  M,1404-02-29 oes 1143 EDIT .csv,oes 4ac,1404/02/29,-22.6448,-2.20325,-78.1796,89.9696,9.96011,35.1506,8.64944,8.15364,-4.39901,-4.45331,142.327,148.362,-12.7308,178.395,170.225,-0.15978,-2.95498,5.29524,4.69695,-4.42919,-1.583,0.603381,24.7286,19.6144,-3.36033,-9.42326,-40.4042,245.574,-8.5022,-12.7857,-13.4432,2947.02,28.1281,178.407,3.97528,6.5044,39.034,0.659823,-3253.73,16.6013,10.1502,1.07857,1.27356,18.3315,23.0182,983.723,-169.98,-134.35,-8.55823,-5.67802,24.7505,52.7982,-15.3707,-4.52076,486.796,489.616,-1.57699,10.9599,0.28317,0.889775,313.441,309.111,-5.33393,-8.56964,3.93479,-2.75618,1.67374,22.0728,12.6526,-18.2402,-12.2977,3.83611,-8.77676,3.36768,5.92858,1.05497,0.535481,0.386058,-0.308508,0.0354296,0.384737,-5.65418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,blank rar,1404-02-29 oes 1143 EDIT .csv,oes 4ac,1404/02/29,-9.22722,-1.92447,-67.5382,0.933828,9.67107,20.2743,-2.89894,-2.37442,-2.91465,-2.9157,59.1463,58.5548,-33.4459,40.6001,38.3807,-0.136172,-1.24988,4.74809,2.12003,-1.57504,-1.21626,-0.119265,1.47178,-0.954221,-2.71895,-4.85612,-66.6183,53.5256,-2.73614,2.19835,-0.0011501,23.5548,-1.54409,-113.015,1.34341,2.56573,16.1133,-0.00259592,-1310.38,2.07518,-1.11444,-1.0467,-0.96892,7.64363,8.95769,262.158,294.011,282.294,-7.09771,-3.13907,2.75544,19.6426,11.3584,24.7249,85.5728,56.1055,-3.10849,5.27447,0.0073147,0.424479,7.65105,6.31595,-2.05829,-3.3635,0.527011,-0.733045,-0.266497,5.04542,1.13889,1.10018,-5.96803,0.0722818,1.70785,1.5736,2.10939,0.273495,0.216303,0.0974694,-0.105319,0.0447299,-1.73239,-4.22832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,BLANK CRM (CUO),1404-02-29 oes 1143 EDIT .csv,oes 4ac,1404/02/29,-3.53344,-0.0325896,-32.8068,2.96419,8.23239,8.86455,3.19484,3.24242,-1.26159,-1.2638,30.2559,33.16,-11.2037,26.1761,21.8247,-0.182664,-0.537617,1.39653,1.43922,-0.490677,-0.437134,-0.400278,2.68223,1.64228,-1.06247,-2.13012,9.67323,63.5539,0.70329,-1.3202,-1.92326,-10.2296,8.79031,-232.537,1.19561,1.6118,8.04506,-0.362127,-650.476,4.19256,2.09568,-0.0952903,-0.00102114,4.53758,4.81478,57.3596,0.829509,7.29429,-1.25077,-0.125936,13.1175,8.90383,-2.4597,0.921926,614814.0,881276.0,-0.605626,-1.46093,-0.143211,0.24814,4.95164,6.22929,-1.00031,-1.64785,0.366515,0.563837,-0.00568349,3.90523,1.95867,-4.21376,1.22894,-0.136938,-2.26838,0.735771,1.12116,0.133252,0.108364,0.0359495,-0.0429124,0.0196775,-0.339868,-1.87742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,1158-BLNK ,1404-02-29 oes 1143 EDIT .csv,oes 4ac,1404/02/29,-10.4063,29.8158,1044.04,1336.42,18.5084,95.449,-8.75769,-5.712,28.7108,28.2158,374.826,403.75,1112.17,1382.28,1383.77,-2.40381,-6.65967,18.1893,11.8803,-9.08722,-6.6842,6.53614,325.207,324.776,-9.42848,-22.7733,-20.124,733.166,-21.2185,9.54826,7.03155,530.588,205.0,1991.67,14.139,17.411,100.619,3.91116,-8378.49,201.872,190.37,13.8087,14.5061,50.6536,55.4545,2484.43,251.689,220.196,-31.6752,-16.5601,22.5885,-40.5731,56.9608,116.957,2427.53,2283.95,-2.84224,76.5566,5.79128,3.19843,2096.28,2188.86,-9.02107,-17.57,8.03999,-41.6984,2.12184,100.317,72.2521,89.9375,-18.2244,-6.55762,-3.53659,8.16915,14.6422,1.88558,1.3627,0.84646,-0.775042,0.455959,65.0644,48.0709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,BLNK NIT,1404-02-29 oes 1143 EDIT .csv,oes 4ac,1404/02/29,-23.1835,-4.04623,-216.139,-42.5651,-11.6722,43.9176,20.8816,22.2493,-8.65485,-8.67575,141.275,161.786,-277.117,-84.2683,-80.9678,-1.07062,-2.47087,6.75852,6.59216,-2.45278,-2.7116,-1.16698,-0.0246342,-6.47954,-7.86586,-13.9859,-307.909,8.98555,-5.17109,-6.29274,-22.1105,153.509,28.918,707.879,3.3411,6.16691,37.8602,2.17192,-3321.31,-21.2546,-28.9165,-3.4087,-3.10524,19.5428,19.378,578.077,-343.076,-322.467,-13.739,-7.05558,21.8939,72.3869,-21.7426,25.0417,-44.2831,-72.6151,0.457782,20.478,1.40595,1.22875,40.2203,12.1554,-6.71654,-9.98658,0.238969,5.40913,6.66135,8.18262,-0.975491,-1.30707,17.4866,-4.22182,-1.52857,3.18577,6.27355,0.54537,0.696931,0.125224,-0.288431,0.141671,-8.44345,-15.2065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,BLNK NIT,1404-02-29 oes 1143 EDIT .csv,oes 4ac,1404/02/29,-9.59537,-1.06494,-87.2085,-16.4006,3.05371,18.9332,6.85359,7.47781,-3.46787,-3.48217,57.9175,55.1837,-111.14,-34.2273,-31.7727,-0.210182,-1.13593,1.60574,2.82451,-1.53648,-0.555739,-0.0248759,0.368054,-2.70052,-3.17024,-5.64309,-123.821,2.90236,-1.07722,0.00838779,-0.172613,30.1979,6.25118,-1.16481,1.65698,2.4931,15.5912,0.507496,-1328.56,-8.52821,-11.5082,-1.35465,-1.24119,7.49973,8.10669,284.57,-145.476,-129.604,-6.07787,-3.04171,13.5606,184.729,-5.22741,8.43629,-8.48246,-19.1355,1.53945,3.74899,0.190227,0.285544,9.92968,5.94517,-2.68464,-3.98495,0.527332,0.0801753,1.843,3.24506,-0.691678,2.30808,-2.45684,1.04733,0.265587,1.37981,2.32712,0.2493,0.249123,0.0712145,-0.0848166,0.0374706,-3.22421,-6.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,Blank,1404-02-29 oes 1185 rev.csv,oes 4ac,1404/02/29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,CRM BLANK  y,1404-02-29 oes 1185 rev.csv,oes 4ac,1404/02/29,6.75261,-52.2614,-13.4751,58.0407,12.2609,-8.75422,59.2547,60.6041,-10.3086,-8.73093,149.359,187.535,389.347,459.396,480.147,-7.16853,-10.2372,18.0927,13.1107,-0.533823,-8.78278,0.848252,1.56971,-1.90904,-16.1903,-14.6767,-0.354924,141.139,1.51756,-23.1881,54.0644,-454.69,23.7906,-1240.88,10.3802,13.468,42.375,-7.24943,-3355.8,22.7849,26.0746,7.23627,6.61133,25.0348,30.7392,641.446,212.565,192.503,-13.041,-7.03964,34.7398,6.24525,-2.99621,4.40496,1736.51,1701.0,-8.87127,-12.3251,,6.47691,21.3454,26.341,-3.28511,-7.14539,,,,18.1817,17.258,15.3993,6.34125,,,0.582199,4.36279,1.44736,0.699637,0.601226,0.118595,0.580346,86.6845,81.1625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,blnk 1115,1404-02-29 oes 1185 rev.csv,oes 4ac,1404/02/29,5.81848,-51.4469,-81.46,-0.187675,22.8027,32.675,-7.85056,-7.06935,-11.9474,-10.3382,129.31,158.365,-37.047,-73.6067,12.2366,-7.24942,-10.7372,10.9233,8.25176,-2.3323,-8.31587,1.90594,-8.72144,-12.8754,-17.9769,-16.3428,23.4211,161.993,7.26938,-13.3251,45.6475,-521.224,-12.3095,-2044.21,5.72424,9.03496,41.0976,-7.52683,-3340.92,-20.2875,-14.7202,-6.83434,-7.46795,23.2576,28.7185,501.464,-321.872,-308.103,-19.3242,-10.5658,8.07717,-12.4846,-16.0454,57.8414,160.172,143.3,1.44255,6.24613,,3.2325,589.456,625.171,-6.92594,-10.2185,,,,10.8261,9.67528,-14.9138,-12.6967,,,-0.461366,3.73582,0.625635,0.25819,0.213937,-0.0641705,0.176577,-10.1593,-14.6234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,1192 blnk zp v250d25,1404-02-29 oes 1185 rev.csv,oes 4ac,1404/02/29,221.451,-6955.29,-4711.21,5055.79,1804.13,3212.98,1086330.0,1090220.0,-518.38,-323.204,16574.2,19380.2,-10616.5,-15340.4,-4507.7,-900.552,-1322.04,1351.47,694.086,-112.211,-1282.45,192.116,-1156.53,-1654.45,-2364.89,-2126.2,-17041.8,1617.63,-338.705,-1907.73,5439.88,-58716.8,36.4144,-171670.0,716.079,1156.37,5018.69,-672.958,-415638.0,-2592.41,-1871.95,-888.208,-973.06,2632.64,3600.74,16273000.0,14734800.0,14539600.0,-2559.28,-1466.64,-383.453,1804.14,-2615.48,3720.27,7816.64,3159.96,20.4783,-214.183,,347.924,2508.55,3464.79,-785.092,-1200.35,,,,586.374,399.782,260.788,2405.4,,,-48.9343,437.372,31.5902,33.5104,26.9498,-12.2272,36.7862,-1390.93,-1999.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,1185 blnk h2o,1404-02-29 oes 1185 rev.csv,oes 4ac,1404/02/29,0.516425,-10.058,-10.804,4.21132,0.54768,3.52529,-2.00413,-1.83525,-1.85144,-1.5573,25.2245,30.9691,-4.05478,-11.8875,3.27658,-1.27875,-1.97302,1.86113,1.6873,-0.25638,-1.70434,0.519555,-1.55757,-2.31163,-1.63337,-1.555,15.7299,40.5451,0.834615,-4.64969,12.6747,-78.3763,-0.00242859,-249.06,1.17285,1.63742,7.66883,-1.20162,-613.758,0.910727,1.60149,-0.933629,-1.00843,3.89835,5.20142,132.889,-10.9301,-14.7171,-3.48791,-1.85418,59.2995,52.2276,-1.61528,-6.16462,27.0073,12.9136,-2.82056,0.801078,,0.550743,11.0289,2.84004,-1.28064,-1.89683,,,,4.65281,4.94328,9.15763,0.889573,,,-0.0509212,0.867541,0.0835884,0.0456174,0.0655857,-0.0150136,0.0383049,-1.64971,-2.82269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,Blank,1404-02-29 oes 1186 .csv,oes 4ac,1404/02/29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
